symbol,trade_num,entry_utc,exit_utc,entry_price,exit_price,size,pnl_usd,exit_module
SOL/USD,73,2025-09-19 08:00,2025-09-19 14:00,244.6022,239.9452,0.3066,-2.02,ATR
SOL/USD,74,2025-09-22 08:00,2025-09-23 02:00,222.0710,215.5182,0.3377,-2.80,ATR
SOL/USD,75,2025-09-22 12:00,2025-09-23 02:00,221.9909,215.9543,0.3379,-2.63,ATR
SOL/USD,76,2025-09-29 12:00,2025-09-30 01:00,207.1335,211.0224,0.3621,+0.80,ATR
SOL/USD,77,2025-10-01 17:00,2025-10-02 15:00,219.4697,222.9150,0.3417,+0.57,ATR
SOL/USD,78,2025-10-01 19:00,2025-10-02 15:00,219.2796,222.9150,0.342,+0.64,ATR
SOL/USD,79,2025-10-02 08:00,2025-10-03 05:00,223.0415,230.3870,0.3363,+1.86,ATR
SOL/USD,80,2025-10-02 17:00,2025-10-03 17:00,228.0840,231.8545,0.3288,+0.63,ATR
SOL/USD,81,2025-10-02 19:00,2025-10-04 15:00,232.0059,226.1684,0.3233,-2.48,ATR
SOL/USD,82,2025-10-03 01:00,2025-10-04 15:00,232.0860,226.4774,0.3232,-2.41,ATR
SOL/USD,83,2025-10-03 03:00,2025-10-03 14:00,233.1765,227.4534,0.3216,-2.43,ATR
SOL/USD,84,2025-10-03 08:00,2025-10-03 17:00,229.1445,231.8545,0.3273,+0.28,ATR
SOL/USD,85,2025-10-03 12:00,2025-10-04 15:00,230.2351,225.2502,0.3258,-2.22,ATR
SOL/USD,86,2025-10-05 12:00,2025-10-05 20:00,231.6658,226.7404,0.3237,-2.19,ATR
SOL/USD,87,2025-10-05 14:00,2025-10-05 19:00,231.9159,226.8634,0.3234,-2.23,ATR
SOL/USD,88,2025-10-06 02:00,2025-10-07 13:00,231.6658,226.5180,0.3237,-2.26,ATR
SOL/USD,89,2025-10-10 22:00,2025-10-10 22:00,200.8304,190.1398,0.3734,-4.58,ATR
SOL/USD,90,2025-10-23 22:00,2025-10-24 12:00,189.3746,192.4854,0.396,+0.63,ATR
SOL/USD,91,2025-10-27 02:00,2025-10-27 08:00,204.4522,200.5934,0.3668,-2.01,ATR
SOL/USD,92,2025-10-27 04:00,2025-10-27 08:00,204.0920,200.3327,0.3675,-1.98,ATR
SOL/USD,93,2025-10-27 06:00,2025-10-27 08:00,203.7818,200.0553,0.368,-1.97,ATR
SOL/USD,94,2025-11-08 07:00,2025-11-08 16:00,161.1906,155.9908,0.4653,-3.01,ATR
SOL/USD,95,2025-11-10 23:00,2025-11-11 10:00,167.8539,162.9498,0.4468,-2.78,ATR
SOL/USD,96,2025-11-24 01:00,2025-11-25 07:00,130.9454,137.0376,0.5728,+2.88,ATR
SOL/USD,97,2025-11-25 10:00,2025-11-26 08:00,136.3081,137.9563,0.5502,+0.30,ATR
SOL/USD,98,2025-11-26 23:00,2025-11-28 01:00,143.3416,139.4744,0.5232,-2.62,ATR
SOL/USD,99,2025-11-27 01:00,2025-11-28 01:00,143.5017,139.7341,0.5226,-2.56,ATR
SOL/USD,100,2025-12-03 11:00,2025-12-03 21:00,141.4507,142.6227,0.5302,+0.02,ATR
SOL/USD,101,2025-12-04 02:00,2025-12-04 19:00,144.0220,139.5978,0.5208,-2.89,ATR
SOL/USD,102,2025-12-04 05:00,2025-12-04 19:00,144.1921,140.0359,0.5201,-2.75,ATR
SOL/USD,103,2025-12-04 10:00,2025-12-04 18:00,144.0720,140.4070,0.5206,-2.50,ATR
SOL/USD,104,2025-12-10 02:00,2025-12-10 20:00,137.5687,138.9903,0.5452,+0.17,ATR
SOL/USD,105,2025-12-28 00:00,2025-12-28 18:00,124.7223,123.1375,0.6013,-1.55,ATR
SOL/USD,106,2025-12-31 04:00,2026-01-03 07:00,126.2631,130.6751,0.594,+2.01,ATR
SOL/USD,107,2025-12-31 15:00,2026-01-02 14:00,125.9029,127.0398,0.5957,+0.07,ATR
SOL/USD,108,2026-01-01 03:00,2026-01-02 14:00,126.0230,127.0398,0.5951,+0.00,ATR
SOL/USD,109,2026-01-01 10:00,2026-01-02 14:00,125.1325,127.0398,0.5994,+0.54,ATR
SOL/USD,110,2026-01-01 12:00,2026-01-02 14:00,126.1630,127.0398,0.5945,-0.08,ATR
SOL/USD,111,2026-01-01 15:00,2026-01-02 14:00,125.5627,127.0398,0.5973,+0.28,ATR
SOL/USD,112,2026-01-01 18:00,2026-01-02 14:00,126.1230,127.0398,0.5947,-0.06,ATR
SOL/USD,113,2026-01-02 09:00,2026-01-03 07:00,128.4842,130.6751,0.5837,+0.67,ATR
SOL/USD,114,2026-01-02 18:00,2026-01-04 18:00,131.3256,133.9370,0.5711,+0.89,ATR
SOL/USD,115,2026-01-02 20:00,2026-01-05 01:00,131.6258,135.6642,0.5698,+1.69,ATR
SOL/USD,116,2026-01-03 10:00,2026-01-04 18:00,131.0855,133.9370,0.5721,+1.02,ATR
SOL/USD,117,2026-01-03 13:00,2026-01-04 08:00,130.8254,133.2537,0.5733,+0.79,ATR
SOL/USD,118,2026-01-04 00:00,2026-01-05 01:00,133.5267,135.6642,0.5617,+0.60,ATR
SOL/USD,119,2026-01-04 02:00,2026-01-06 00:00,134.1570,137.2279,0.559,+1.11,ATR
SOL/USD,120,2026-01-05 02:00,2026-01-05 13:00,136.9384,134.4816,0.5477,-1.94,ATR
SOL/USD,121,2026-01-05 07:00,2026-01-05 13:00,135.7478,133.3082,0.5525,-1.94,ATR
SOL/USD,122,2026-01-05 23:00,2026-01-06 14:00,138.7193,140.7737,0.5407,+0.51,ATR
SOL/USD,123,2026-01-06 06:00,2026-01-06 17:00,139.7498,136.8766,0.5367,-2.14,ATR
SOL/USD,124,2026-01-06 10:00,2026-01-06 14:00,137.6488,140.7737,0.5449,+1.10,ATR
SOL/USD,125,2026-01-06 12:00,2026-01-06 17:00,139.4997,136.7567,0.5376,-2.07,ATR
SOL/USD,126,2026-01-06 17:00,2026-01-07 19:00,138.8694,134.9086,0.5401,-2.73,ATR
SOL/USD,127,2026-01-06 23:00,2026-01-07 15:00,140.3501,136.3904,0.5344,-2.71,ATR
SOL/USD,128,2026-01-07 01:00,2026-01-07 15:00,139.9700,136.0095,0.5358,-2.71,ATR
SOL/USD,129,2026-01-11 19:00,2026-01-11 22:00,140.0700,137.7729,0.5354,-1.83,ATR
SOL/USD,130,2026-01-12 01:00,2026-01-12 21:00,141.4207,138.6232,0.5303,-2.08,ATR
SOL/USD,131,2026-01-12 08:00,2026-01-12 21:00,141.5607,138.4141,0.5298,-2.26,ATR
SOL/USD,132,2026-01-12 12:00,2026-01-13 22:00,140.1801,145.0682,0.535,+2.00,ATR
SOL/USD,133,2026-01-12 15:00,2026-01-13 22:00,140.6303,145.0682,0.5333,+1.76,ATR
SOL/USD,134,2026-01-12 19:00,2026-01-13 22:00,141.0505,145.0682,0.5317,+1.53,ATR
SOL/USD,135,2026-01-14 00:00,2026-01-15 18:00,145.6928,141.8608,0.5148,-2.56,ATR
SOL/USD,136,2026-01-14 03:00,2026-01-15 15:00,145.7528,142.1306,0.5146,-2.46,ATR
SOL/USD,137,2026-01-14 05:00,2026-01-15 19:00,144.9324,141.3942,0.5175,-2.42,ATR
SOL/USD,138,2026-01-14 13:00,2026-01-15 19:00,144.4122,141.4370,0.5193,-2.14,ATR
SOL/USD,139,2026-01-14 17:00,2026-01-15 03:00,147.0735,143.5926,0.5099,-2.37,ATR
SOL/USD,140,2026-01-14 21:00,2026-01-15 03:00,147.4137,144.0466,0.5088,-2.31,ATR
SOL/USD,141,2026-01-15 08:00,2026-01-15 15:00,144.9925,142.1189,0.5173,-2.08,ATR
SOL/USD,142,2026-01-15 11:00,2026-01-15 15:00,145.6928,142.9806,0.5148,-1.99,ATR
SOL/USD,143,2026-01-19 02:00,2026-01-20 08:00,133.5968,130.4115,0.5614,-2.38,ATR
SOL/USD,144,2026-01-29 19:00,2026-01-30 01:00,115.8079,112.2612,0.6476,-2.89,ATR
SOL/USD,145,2026-02-08 02:00,2026-02-09 08:00,87.8839,84.8395,0.8534,-3.19,ATR
SOL/USD,146,2026-02-15 10:00,2026-02-15 12:00,90.0450,87.6679,0.8329,-2.57,ATR
SOL/USD,147,2026-02-15 17:00,2026-02-15 20:00,87.7438,85.1454,0.8548,-2.81,ATR
SOL/USD,148,2026-02-25 23:00,2026-02-26 15:00,89.1445,85.8768,0.8413,-3.34,ATR
SOL/USD,149,2026-02-26 05:00,2026-02-26 15:00,88.6443,85.5837,0.8461,-3.18,ATR
SOL/USD,150,2026-02-26 11:00,2026-02-26 16:00,87.6738,84.9267,0.8554,-2.94,ATR
SOL/USD,151,2026-02-26 13:00,2026-02-26 16:00,87.7639,85.1568,0.8546,-2.82,ATR
SOL/USD,152,2026-02-26 20:00,2026-02-27 11:00,86.6633,83.7232,0.8654,-3.13,ATR
SOL/USD,153,2026-02-26 23:00,2026-02-27 11:00,85.9329,83.3723,0.8728,-2.83,ATR
SOL/USD,154,2026-03-01 06:00,2026-03-01 16:00,87.3837,84.1971,0.8583,-3.32,ATR
SOL/USD,155,2026-03-01 09:00,2026-03-01 20:00,85.2826,82.2313,0.8794,-3.27,ATR
SOL/USD,156,2026-03-01 11:00,2026-03-01 20:00,85.3627,82.5197,0.8786,-3.09,ATR
SOL/USD,157,2026-03-01 15:00,2026-03-01 19:00,86.0930,83.1332,0.8712,-3.17,ATR
SOL/USD,158,2026-03-05 01:00,2026-03-06 09:00,90.7654,87.3816,0.8263,-3.38,ATR
SOL/USD,159,2026-03-05 03:00,2026-03-06 11:00,90.2751,87.1059,0.8308,-3.22,ATR
SOL/USD,160,2026-03-05 05:00,2026-03-06 04:00,90.6553,87.6869,0.8273,-3.05,ATR
SOL/USD,161,2026-03-05 10:00,2026-03-05 16:00,91.4157,88.3612,0.8204,-3.10,ATR
SOL/USD,162,2026-03-05 12:00,2026-03-05 15:00,91.9660,89.0302,0.8155,-2.98,ATR
SOL/USD,163,2026-03-05 15:00,2026-03-06 04:00,91.0055,87.7740,0.8241,-3.25,ATR
SOL/USD,164,2026-03-10 17:00,2026-03-10 18:00,88.8344,86.2836,0.8443,-2.74,ATR
SOL/USD,165,2026-03-11 00:00,2026-03-13 00:00,85.7629,88.8046,0.8745,+2.05,ATR
SOL/USD,166,2026-03-11 02:00,2026-03-13 00:00,86.1531,88.8046,0.8705,+1.70,ATR
SOL/USD,167,2026-03-11 22:00,2026-03-12 03:00,87.5438,85.1236,0.8567,-2.67,ATR
SOL/USD,168,2026-03-13 13:00,2026-03-13 17:00,91.1155,88.7931,0.8231,-2.50,ATR
SOL/USD,169,2026-03-13 21:00,2026-03-14 10:00,89.0445,86.6443,0.8423,-2.61,ATR
SOL/USD,170,2026-03-16 03:00,2026-03-16 14:00,91.4557,93.2586,0.8201,+0.87,ATR
SOL/USD,171,2026-03-16 06:00,2026-03-16 23:00,94.0570,95.6515,0.7974,+0.67,ATR
SOL/USD,172,2026-03-16 11:00,2026-03-16 23:00,93.9369,95.6515,0.7984,+0.76,ATR
SOL/USD,173,2026-03-16 17:00,2026-03-16 23:00,94.0370,95.6515,0.7976,+0.68,ATR
SOL/USD,174,2026-03-17 06:00,2026-03-18 12:00,93.8469,91.3718,0.7992,-2.57,ATR
SOL/USD,175,2026-03-17 08:00,2026-03-18 11:00,94.4972,92.1260,0.7937,-2.47,ATR
SOL/USD,176,2026-03-17 12:00,2026-03-18 12:00,93.7669,91.5237,0.7999,-2.39,ATR
SOL/USD,177,2026-03-17 14:00,2026-03-18 12:00,93.6768,91.3909,0.8006,-2.42,ATR
SOL/USD,178,2026-03-17 17:00,2026-03-18 11:00,94.6873,92.3312,0.7921,-2.46,ATR
SOL/USD,179,2026-03-21 03:00,2026-03-21 23:00,90.4652,88.9141,0.829,-1.88,ATR
SOL/USD,180,2026-03-24 07:00,2026-03-24 19:00,90.6153,88.5075,0.8277,-2.34,ATR
SOL/USD,181,2026-03-24 21:00,2026-03-25 15:00,90.1250,91.9961,0.8322,+0.95,ATR
SOL/USD,182,2026-04-01 11:00,2026-04-01 17:00,83.4717,84.7948,0.8985,+0.58,ATR
SOL/USD,183,2026-04-08 12:00,2026-04-08 14:00,84.5122,82.8525,0.8874,-2.07,ATR
SOL/USD,184,2026-04-08 17:00,2026-04-09 01:00,83.5117,81.7167,0.8981,-2.21,ATR
SOL/USD,185,2026-04-08 20:00,2026-04-09 13:00,83.3316,81.6185,0.9,-2.14,ATR
SOL/USD,186,2026-04-10 02:00,2026-04-11 18:00,83.1916,84.7979,0.9015,+0.84,ATR
SOL/USD,187,2026-04-10 05:00,2026-04-11 20:00,83.3016,85.1898,0.9003,+1.09,ATR
SOL/USD,188,2026-04-10 15:00,2026-04-12 01:00,85.2926,83.5994,0.8793,-2.08,ATR
SOL/USD,189,2026-04-11 22:00,2026-04-12 01:00,85.3627,83.9520,0.8786,-1.83,ATR
SOL/USD,190,2026-04-14 00:00,2026-04-14 18:00,86.6933,84.7116,0.8651,-2.31,ATR
SOL/USD,191,2026-04-14 18:00,2026-04-14 20:00,85.3627,83.3915,0.8786,-2.32,ATR
SOL/USD,192,2026-04-16 15:00,2026-04-16 18:00,85.4127,87.1729,0.8781,+0.94,ATR
SOL/USD,193,2026-04-16 17:00,2026-04-16 18:00,86.0430,87.1729,0.8717,+0.38,ATR
SOL/USD,194,2026-04-16 20:00,2026-04-17 02:00,90.1551,87.7740,0.8319,-2.57,ATR
SOL/USD,195,2026-04-17 14:00,2026-04-18 08:00,90.0350,87.8596,0.833,-2.40,ATR
SOL/USD,196,2026-04-17 22:00,2026-04-18 08:00,89.2246,87.3532,0.8406,-2.17,ATR
SOL/USD,197,2026-04-18 03:00,2026-04-18 08:00,88.8644,87.2157,0.844,-1.99,ATR
SOL/USD,198,2026-04-22 08:00,2026-04-23 00:00,88.1641,86.5714,0.8507,-1.95,ATR
SOL/USD,199,2026-04-22 18:00,2026-04-23 00:00,87.9139,86.4283,0.8531,-1.86,ATR
SOL/USD,200,2026-05-02 21:00,2026-05-04 00:00,84.2121,83.5042,0.8906,-1.23,ATR
SOL/USD,201,2026-05-04 05:00,2026-05-04 10:00,85.7529,84.5344,0.8746,-1.66,ATR
SOL/USD,202,2026-05-06 13:00,2026-05-06 14:00,89.6448,88.0015,0.8366,-1.97,ATR
SOL/USD,203,2026-05-06 15:00,2026-05-08 17:00,88.4942,90.4906,0.8475,+1.09,ATR
SOL/USD,204,2026-05-07 05:00,2026-05-08 17:00,88.3942,90.4906,0.8485,+1.17,ATR
SOL/USD,205,2026-05-07 09:00,2026-05-07 14:00,89.5347,87.8408,0.8377,-2.01,ATR
SOL/USD,206,2026-05-07 13:00,2026-05-07 14:00,89.6448,87.8684,0.8366,-2.08,ATR
SOL/USD,207,2026-05-09 02:00,2026-05-10 17:00,93.6068,95.2538,0.8012,+0.71,ATR
SOL/USD,208,2026-05-09 11:00,2026-05-10 17:00,93.4967,95.2538,0.8022,+0.80,ATR
SOL/USD,209,2026-05-09 19:00,2026-05-10 17:00,93.4067,95.2538,0.8029,+0.88,ATR
SOL/USD,210,2026-05-09 22:00,2026-05-10 17:00,93.5167,95.2538,0.802,+0.79,ATR
SOL/USD,211,2026-05-10 12:00,2026-05-10 17:00,93.5568,95.2538,0.8017,+0.76,ATR
SOL/USD,212,2026-05-10 14:00,2026-05-10 20:00,93.8169,95.6364,0.7994,+0.85,ATR
SOL/USD,213,2026-05-11 20:00,2026-05-12 01:00,98.2491,95.7993,0.7634,-2.46,ATR
SOL/USD,214,2026-05-22 02:00,2026-05-22 18:00,87.1936,85.8177,0.8602,-1.78,ATR
SOL/USD,215,2026-05-22 05:00,2026-05-22 18:00,87.0235,85.7523,0.8618,-1.69,ATR
SOL/USD,216,2026-06-02 16:00,2026-06-02 22:00,76.3882,74.3197,0.9818,-2.62,ATR
SOL/USD,217,2026-06-08 07:00,2026-06-09 00:00,65.6728,66.5324,1.142,+0.38,ATR
SOL/USD,218,2026-06-09 02:00,2026-06-09 16:00,66.0130,63.9243,1.136,-2.96,ATR
SOL/USD,219,2026-06-09 04:00,2026-06-09 16:00,66.0230,63.8746,1.136,-3.03,ATR
SOL/USD,220,2026-06-12 23:00,2026-06-13 21:00,66.6433,68.4863,1.125,+1.47,ATR
SOL/USD,221,2026-06-14 04:00,2026-06-14 12:00,68.9645,67.7685,1.088,-1.90,ATR
SOL/USD,222,2026-06-15 12:00,2026-06-15 21:00,72.6063,74.4424,1.033,+1.29,ATR
SOL/USD,223,2026-06-15 17:00,2026-06-16 02:00,75.4777,73.4789,0.9937,-2.58,ATR
SOL/USD,224,2026-06-16 18:00,2026-06-17 11:00,73.6568,71.6341,1.018,-2.65,ATR
SOL/USD,225,2026-06-16 21:00,2026-06-17 08:00,74.1371,72.2207,1.012,-2.53,ATR
SOL/USD,226,2026-06-20 12:00,2026-06-20 22:00,71.7759,72.7277,1.045,+0.39,ATR
SOL/USD,227,2026-06-20 15:00,2026-06-20 22:00,71.9360,72.7277,1.043,+0.22,ATR
SOL/USD,228,2026-06-21 01:00,2026-06-22 22:00,73.1466,71.4415,1.025,-2.34,ATR
SOL/USD,229,2026-06-21 06:00,2026-06-22 22:00,73.0465,71.5005,1.027,-2.18,ATR
SOL/USD,230,2026-06-21 09:00,2026-06-22 22:00,73.1065,71.5494,1.026,-2.19,ATR
SOL/USD,231,2026-06-22 02:00,2026-06-22 19:00,74.3271,72.3996,1.009,-2.54,ATR
SOL/USD,232,2026-06-22 05:00,2026-06-22 22:00,73.8169,72.0058,1.016,-2.43,ATR
SOL/USD,233,2026-06-22 08:00,2026-06-22 21:00,74.0570,72.2691,1.013,-2.40,ATR
SOL/USD,234,2026-06-22 13:00,2026-06-22 16:00,74.3772,72.6839,1.008,-2.30,ATR
SOL/USD,235,2026-06-27 14:00,2026-06-27 22:00,72.2761,70.4436,1.038,-2.49,ATR
SOL/USD,236,2026-06-27 23:00,2026-06-29 05:00,71.0155,71.3043,1.056,-0.30,ATR
SOL/USD,237,2026-06-29 21:00,2026-06-30 12:00,75.2976,72.5533,0.996,-3.32,ATR
SOL/USD,238,2026-06-30 06:00,2026-06-30 12:00,74.1571,71.9998,1.011,-2.77,ATR
SOL/USD,239,2026-07-02 00:00,2026-07-02 10:00,77.4187,79.9796,0.9688,+1.87,ATR
SOL/USD,240,2026-07-02 02:00,2026-07-02 10:00,78.1491,79.9796,0.9597,+1.15,ATR
SOL/USD,241,2026-07-02 06:00,2026-07-02 10:00,78.0690,79.9796,0.9607,+1.23,ATR
SOL/USD,242,2026-07-02 10:00,2026-07-02 10:00,79.4197,79.9796,0.9444,-0.07,ATR
SOL/USD,243,2026-07-02 13:00,2026-07-04 06:00,81.3607,82.4681,0.9218,+0.42,ATR
SOL/USD,244,2026-07-02 16:00,2026-07-04 06:00,80.8304,82.4681,0.9279,+0.91,ATR
SOL/USD,245,2026-07-02 19:00,2026-07-04 06:00,81.0005,82.4681,0.9259,+0.75,ATR
SOL/USD,246,2026-07-03 02:00,2026-07-06 12:00,81.4507,79.3354,0.9208,-2.54,ATR
SOL/USD,247,2026-07-03 06:00,2026-07-04 06:00,81.1205,82.4681,0.9246,+0.64,ATR
SOL/USD,248,2026-07-03 15:00,2026-07-05 09:00,81.6508,79.8272,0.9185,-2.27,ATR
SOL/USD,249,2026-07-10 06:00,2026-07-10 14:00,79.1796,77.8994,0.9472,-1.81,ATR
ETH/USD,1,2025-07-21 04:00,2025-07-22 04:00,"3,761.88","3,670.20",0.01994,-2.42,ATR
ETH/USD,2,2025-07-27 03:00,2025-07-28 07:00,"3,786.29","3,878.35",0.01981,+1.22,ATR
ETH/USD,3,2025-07-27 07:00,2025-07-28 07:00,"3,775.01","3,878.35",0.01987,+1.44,ATR
ETH/USD,4,2025-07-31 07:00,2025-07-31 13:00,"3,875.91","3,797.87",0.01935,-2.10,ATR
ETH/USD,5,2025-08-05 06:00,2025-08-05 14:00,"3,666.68","3,597.11",0.02045,-2.02,ATR
ETH/USD,6,2025-08-05 09:00,2025-08-05 14:00,"3,637.61","3,562.24",0.02062,-2.15,ATR
ETH/USD,7,2025-08-07 13:00,2025-08-08 08:00,"3,846.83","3,896.41",0.0195,+0.36,ATR
ETH/USD,8,2025-08-07 16:00,2025-08-08 08:00,"3,840.74","3,896.41",0.01953,+0.48,ATR
ETH/USD,9,2025-08-07 20:00,2025-08-08 13:00,"3,871.45","3,926.21",0.01937,+0.46,ATR
ETH/USD,10,2025-08-08 03:00,2025-08-09 05:00,"3,902.40","4,114.74",0.01922,+3.46,ATR
