symbol,timestamp_utc,open,high,low,close,volume,ema20,ema50,ema200,rsi14,macd_line,macd_signal,macd_hist,atr14,adx14,bb_upper,bb_mid,bb_lower,bb_width_pct,atr_percentile,bb_width_percentile,ema_stack,higher_high_higher_low,lower_high_lower_low,regime,strong_uptrend,panic,compression,supertrend_dir_10_3,donchian_high20,donchian_low10,keltner_upper_20_10_2,keltner_mid20,atr_breakout_level_14_1p5
BTC/USD,2025-07-22T13:00:00+00:00,119140.09,119450.0,118054.01,118054.01,0.7605,118041.271946,118004.856607,117686.26062,50.53,186.980905,24.656058,162.324847,711.372754,19.22,119112.789029,117667.236,116221.682971,2.457,83.7,75.9,UP,False,True,RANGE,False,False,False,1,119450.0,116600.0,119504.516165,118041.271946,120078.82913
BTC/USD,2025-07-22T14:00:00+00:00,118241.85,119014.5,117584.21,118956.43,0.6242,118128.429856,118042.173211,117698.899122,58.03,234.220576,66.568961,167.651614,762.723986,18.88,119286.986073,117755.558,116224.129927,2.601,93.3,78.4,UP,False,True,RANGE,False,False,False,1,119450.0,116600.01,119731.407653,118128.429856,119198.095978
BTC/USD,2025-07-22T15:00:00+00:00,119014.5,119197.77,118668.0,119008.28,0.1598,118212.225107,118080.059751,117711.927787,58.42,272.698716,107.794912,164.903804,746.084415,18.24,119423.162327,117866.505,116309.847673,2.641,91.1,78.8,UP,False,True,RANGE,False,False,False,1,119450.0,117345.31,119760.859125,118212.225107,120075.556623
BTC/USD,2025-07-22T16:00:00+00:00,118993.44,119325.82,118628.47,118820.9,1.3552,118270.194145,118109.11231,117722.962336,56.38,284.790037,143.193937,141.5961,742.603385,17.4,119505.804273,117962.5495,116419.294727,2.617,90.5,78.5,UP,False,True,RANGE,False,False,False,1,119450.0,117499.64,119803.43476,118270.194145,120122.185078
BTC/USD,2025-07-22T17:00:00+00:00,118650.01,119171.52,118338.46,119171.52,0.8363,118356.034702,118150.775357,117737.375846,59.25,318.98751,178.352652,140.634858,749.064572,17.08,119651.620638,118057.961,116464.301362,2.7,91.5,79.5,UP,False,True,RANGE,False,False,False,1,119450.0,117499.64,119902.563257,118356.034702,119944.496858
BTC/USD,2025-07-22T18:00:00+00:00,119171.52,119992.55,119025.4,119908.51,2.8321,118503.889493,118219.706127,117758.979171,64.53,400.936442,222.86941,178.067032,764.642103,16.32,119939.052518,118180.514,116421.975482,2.976,93.6,82.1,UP,False,False,RANGE,False,False,False,1,119992.55,117584.21,120089.195191,118503.889493,120318.483154
BTC/USD,2025-07-22T19:00:00+00:00,119630.31,119898.69,119024.4,119249.16,0.7091,118574.867636,118260.076867,117773.80684,57.37,407.974649,259.890457,148.084191,773.175524,15.61,120055.46011,118268.9265,116482.39289,3.021,94.0,82.4,UP,False,False,RANGE,False,False,False,1,119992.55,117584.21,120178.464765,118574.867636,121068.273286
BTC/USD,2025-07-22T20:00:00+00:00,119313.01,119845.4,119155.66,119823.54,0.23,118693.788814,118321.389147,117794.202195,61.39,454.659116,298.844189,155.814927,767.215844,14.96,120228.943882,118405.2825,116581.621118,3.08,93.6,82.7,UP,False,False,RANGE,False,False,False,1,119992.55,117584.21,120274.97423,118693.788814,120399.983766
BTC/USD,2025-07-22T21:00:00+00:00,119808.73,119808.73,119384.68,119598.59,0.2939,118779.960355,118371.475455,117812.156303,59.04,468.109237,332.697199,135.412038,743.761855,14.34,120366.970777,118495.9735,116624.976223,3.158,90.3,83.1,UP,True,False,RANGE,False,False,False,1,119992.55,117584.21,120290.79923,118779.960355,120939.182782
BTC/USD,2025-07-22T22:00:00+00:00,119384.62,119999.0,119384.62,119770.27,0.0906,118874.27556,118426.330143,117831.640021,60.29,487.007773,363.559314,123.448459,734.520294,14.12,120448.114017,118635.7245,116823.334983,3.055,88.0,82.1,UP,True,False,RANGE,False,False,False,1,119999.0,117584.21,120356.906546,118874.27556,120700.370441
BTC/USD,2025-07-22T23:00:00+00:00,119898.82,120169.05,119730.87,119999.61,0.7258,118981.450268,118488.027392,117853.211862,61.96,514.5593,393.759311,120.79999,713.35313,14.2,120559.662323,118773.864,116988.065677,3.007,82.8,81.7,UP,True,False,RANGE,False,False,False,1,120169.05,117584.21,120403.454156,118981.450268,120840.299695
BTC/USD,2025-07-23T00:00:00+00:00,119962.95,120104.7,119525.07,119536.17,0.3611,119034.280719,118529.131024,117869.957714,56.77,493.311759,413.669801,79.641959,703.801478,13.81,120428.634653,118920.6725,117412.710347,2.536,81.1,76.4,UP,True,False,RANGE,False,False,False,1,120169.05,118338.46,120430.010218,119034.280719,121055.312217
BTC/USD,2025-07-23T01:00:00+00:00,119536.17,120406.57,119401.87,119789.25,22.1381,119106.182555,118578.547454,117889.05515,58.8,491.231756,429.182192,62.049565,725.294229,13.98,120409.179667,119043.049,117676.918333,2.295,86.0,71.1,UP,True,False,RANGE,False,False,False,1,120406.57,118338.46,120563.279105,119106.182555,120624.111344
BTC/USD,2025-07-23T02:00:00+00:00,119789.27,120588.88,119076.93,119331.85,15.724,119127.674693,118608.088731,117903.411317,53.88,447.516293,432.849012,14.667281,781.483927,13.41,120356.473937,119122.1415,117887.809063,2.072,94.8,65.9,UP,True,False,RANGE,False,False,False,1,120588.88,118338.46,120741.451587,119127.674693,120961.475891
